# x1,x2,x3,y1,y2,y3
-5.3055,-4.0601,-5.2613,-12.6663,-3.7962,3.6917
-5.5404,-5.0032,-3.9926,-11.0077,-3.9856,4.9000
-4.9821,-4.5845,-4.3312,-11.6973,-3.5893,5.0469
-4.4957,-5.0641,-4.7820,-11.9780,-3.5971,4.6359
-4.4422,-4.4114,-4.5675,-12.4150,-2.7995,4.7397
-4.1499,-4.2937,-4.1419,-10.6920,-3.6511,5.0586
-3.7529,-4.2403,-4.0765,-10.5712,-4.5566,4.5593
-4.1651,-3.9984,-4.9872,-11.4946,-3.4166,3.3190
-4.1823,-3.8435,-4.1296,-10.9526,-3.2374,4.3624
-4.0202,-3.4741,-3.9983,-10.9627,-3.4795,3.7693
-4.5800,-4.5534,-3.6465,-10.4557,-3.7279,3.6845
-4.1322,-2.8855,-3.2330,-10.8720,-3.9303,3.9231
-3.6743,-3.4117,-4.2560,-10.6344,-2.6097,4.1074
-4.2651,-3.7957,-2.7837,-10.2527,-1.8285,4.5912
-3.2121,-3.8403,-4.5214,-10.0838,-3.0779,4.4060
-3.4082,-3.6383,-5.1756,-10.5202,-3.0088,3.8313
-2.8184,-3.5899,-3.7113,-10.3169,-2.4760,3.0480
-3.3456,-3.9129,-4.5818,-9.7398,-3.1523,4.2410
-3.4136,-3.5377,-3.5011,-9.7756,-2.5829,4.0466
-2.3764,-2.3052,-3.2434,-10.1877,-1.4967,3.2848
-3.3094,-3.6451,-2.3804,-10.1298,-1.4214,3.7809
-2.7538,-2.3787,-3.7429,-9.9907,-1.6828,3.5625
-3.7732,-2.5588,-3.0258,-9.2302,-2.0029,3.9914
-2.0208,-2.3716,-3.1375,-8.6861,-2.3999,3.4671
-3.0010,-2.2876,-1.4720,-8.2690,-1.5887,2.8930
-2.4117,-2.4127,-2.7620,-8.9128,-1.4144,3.3984
-2.9178,-2.0062,-1.8962,-9.5172,-0.7115,2.4182
-2.8915,-2.1700,-2.9794,-8.2753,-1.9538,2.6469
-3.3823,-2.4889,-2.8714,-9.1862,-1.7262,3.4499
-2.7047,-2.6052,-1.7152,-8.6330,-1.0115,2.6370
-2.2441,-1.2170,-2.6661,-8.3972,-1.2635,2.6619
-1.9544,-2.4467,-2.0024,-8.5341,-1.0881,3.2910
-1.8779,-1.2281,-1.6282,-8.2410,-0.7414,3.6234
-1.1009,-2.0494,-1.6168,-8.0292,-0.3494,2.5917
-1.8070,-2.0952,-2.3812,-7.3281,-0.7962,2.9720
-0.7880,-1.6019,-1.6360,-7.8427,-1.2226,2.7142
-0.5022,-0.9317,-1.0482,-7.4344,-0.6310,2.2587
-1.4288,-2.1259,-1.3361,-6.7754,-0.1935,2.5663
-0.8302,-0.3860,0.0550,-7.8427,0.6784,2.2171
-0.3155,-1.0986,-0.4866,-7.3141,0.3834,3.0242
-0.2779,-0.8556,-0.8649,-7.3001,0.1436,2.4992
-0.3019,-1.0401,-1.8490,-7.8711,0.0515,2.3674
-0.5888,-1.1938,-0.1046,-6.8867,-0.4509,2.6763
0.6941,0.0434,-0.7123,-6.4874,0.7980,1.3629
-1.3635,-1.1055,-0.3851,-7.0039,0.6853,2.5616
0.4487,0.8417,-0.9988,-7.4591,0.5516,2.4220
0.4169,-0.1594,-0.2956,-6.1659,0.5135,1.6245
-0.8329,-0.7958,-0.5843,-6.7509,-0.0615,2.5935
0.2604,0.1700,-0.0898,-6.4657,1.8635,2.4040
0.5874,-0.1630,0.0763,-5.7049,0.7170,2.2259
-0.2106,0.0304,0.5954,-5.6660,1.5534,2.7366
-0.2996,-0.3274,-0.6471,-5.5265,1.2466,1.3803
0.4784,0.4587,0.4308,-5.7691,1.6238,1.6894
0.6438,-0.4087,0.6038,-5.7458,1.0523,1.8621
0.5417,0.8875,-0.2056,-5.1414,0.7687,1.4419
0.2125,0.0679,1.0884,-5.7552,0.7820,1.1776
0.5256,0.6156,0.5981,-5.0191,1.5856,2.0003
0.2075,1.4779,-0.0797,-4.3947,1.5469,2.1209
0.7764,1.3077,0.9952,-5.8332,2.0545,0.9799
0.3108,1.2916,1.1845,-4.8941,2.2431,0.6677
2.0021,0.7615,1.3190,-5.0267,1.8193,1.4089
1.6749,1.5266,0.7676,-4.1454,1.4198,1.2225
0.6573,0.3522,1.5263,-4.2378,3.2018,1.5750
1.0354,1.2953,2.0362,-3.9160,1.6264,1.9935
1.8339,1.2143,1.2391,-4.5796,2.9615,0.5005
1.8564,1.5716,1.5301,-3.7502,3.5824,1.8507
2.2643,1.4864,2.3244,-4.0509,1.6138,0.6731
2.0300,2.9467,1.8753,-3.6339,2.5528,1.3878
2.1711,1.6575,2.2658,-3.9615,2.0296,1.3371
2.0251,1.2466,1.8648,-2.7989,3.1280,0.4956
1.6810,2.1821,2.1221,-4.3133,3.3677,1.1160
1.9912,2.0184,2.1167,-2.3374,3.6529,0.6792
1.7147,2.8807,2.1945,-3.0810,4.2465,0.6025
2.9048,2.1984,2.0639,-2.6401,3.3236,1.7183
2.0871,2.3922,3.1351,-2.9796,3.3362,0.5449
3.1222,3.2517,3.0111,-3.0232,3.2298,1.4237
1.7209,2.9901,2.8946,-3.0839,4.3528,0.1794
2.6508,3.3468,2.1670,-2.8534,4.5045,0.8600
3.8839,2.3715,2.8368,-2.8801,3.8582,1.0642
2.4789,2.3112,3.4458,-2.7217,4.4698,1.2425
3.5171,4.0587,3.1532,-1.5576,4.8441,0.4015
2.7649,3.0632,3.1073,-2.0122,4.7885,0.8996
3.3423,3.1974,4.1902,-2.2237,4.5149,0.5089
3.4190,3.6390,3.7668,-1.8006,4.3460,1.0055
3.6568,3.3761,3.5939,-2.6722,4.0077,0.3562
2.7935,4.5578,3.9543,-1.4445,4.1672,0.7331
2.6165,3.2767,3.4593,-1.0549,4.5064,0.5106
3.4665,3.2660,4.3060,-1.3487,5.4029,-0.1222
3.4674,3.6096,4.6468,-2.5240,5.1524,0.2074
4.5023,4.6423,4.1685,-0.5327,4.7607,0.3288
2.9474,3.4173,4.1953,-1.0483,5.2430,-0.4256
3.8806,3.8344,4.4922,-1.2537,4.9391,-0.4013
3.9599,4.5743,4.4706,-0.6594,4.8193,0.6029
4.1356,3.4997,4.7800,-1.8825,5.6275,0.5347
4.2398,4.4140,5.1450,-0.2463,5.5935,0.0771
4.5431,4.3892,5.1280,0.2031,5.5292,-0.5195
4.4026,5.2335,3.8565,-0.2837,5.8830,-0.3531
4.0107,4.4376,4.4586,-0.6991,5.1904,-0.3920
4.9057,4.6802,5.3757,-0.3082,5.2808,-0.3419
5.7400,5.4632,4.9989,-0.0481,5.5249,-0.6339
